SM_Name	SM_LINCS_ID	SM_Alternative_Name	SM_PubChem_CID	SM_InChI_Parent	SM_InChI_Key_Parent	SM_SMILES_Parent	SM_Center_Name	SM_Center_Canonical_ID	SM_Center_Batch_ID	SM_Provider_Name	SM_Provider_Catalog_ID	SM_Provider_Batch_ID	SM_Salt	SM_SMILES_Batch	SM_InChI_Batch	SM_InChI_Key_Batch	SM_Molecular_Mass	SM_Purity	SM_Purity_Method	SM_Aqueous_Solubility	SM_LogP
Enzastaurin	LSM-1069	LY317615	176167	InChI=1S/C32H29N5O2/c1-35-19-25(23-9-2-4-11-27(23)35)29-30(32(39)34-31(29)38)26-20-37(28-12-5-3-10-24(26)28)22-13-16-36(17-14-22)18-21-8-6-7-15-33-21/h2-12,15,19-20,22H,13-14,16-18H2,1H3,(H,34,38,39)		Cn1cc(C2=C(C(=O)NC2=O)c3cn(C4CCN(Cc5ccccn5)CC4)c6ccccc36)c7ccccc17		10069	10069-101-1	Haoyuan chemexpress	HY-10342	HY-999-20101127		CN1C7=C(C=CC=C7)C(C6=C(C(NC6=O)=O)C3=CN(C4CCN(CC5=NC=CC=C5)CC4)C2=CC=CC=C23)=C1			515.23				
Erlotinib	LSM-1097	OSI-774	176870	InChI=1S/C22H23N3O4/c1-4-16-6-5-7-17(12-16)25-22-18-13-20(28-10-8-26-2)21(29-11-9-27-3)14-19(18)23-15-24-22/h1,5-7,12-15H,8-11H2,2-3H3,(H,23,24,25)		COCCOc1cc2ncnc(Nc3cccc(c3)C#C)c2cc1OCCOC		10097	10097-101-1	Haoyuan chemexpress	HY-50896	HY-50896-20110114		C#CC1=CC=CC(NC2=NC=NC3=CC(OCCOC)=C(OCCOC)C=C32)=C1			393.17				
Foretinib	LSM-1158	XL880; GSK1363089	42642645	InChI=1S/C34H34F2N4O6/c1-43-30-20-25-27(21-31(30)45-16-2-13-40-14-17-44-18-15-40)37-12-9-28(25)46-29-8-7-24(19-26(29)36)39-33(42)34(10-11-34)32(41)38-23-5-3-22(35)4-6-23/h3-9,12,19-21H,2,10-11,13-18H2,1H3,(H,38,41)(H,39,42)		COc1cc2c(Oc3ccc(NC(=O)C4(CC4)C(=O)Nc5ccc(F)cc5)cc3F)ccnc2cc1OCCCN6CCOCC6		10157	10157-101-1	Haoyuan chemexpress	HY-10338	n/a		COC1=CC2=C(C=CN=C2C=C1OCCCN3CCOCC3)OC4=C(C=C(C=C4)NC(=O)C5(CC5)C(=O)NC6=CC=C(C=C6)F)F			632.24				
R406	LSM-1040		11213558	InChI=1S/C22H23FN6O5/c1-22(2)20(30)28-19-13(34-22)6-7-16(27-19)26-18-12(23)10-24-21(29-18)25-11-8-14(31-3)17(33-5)15(9-11)32-4/h6-10H,1-5H3,(H3,24,25,26,27,28,29,30)		COc1cc(Nc2ncc(F)c(Nc3ccc4OC(C)(C)C(=O)Nc4n3)n2)cc(OC)c1OC		10040	10040-101-1	Haoyuan chemexpress	HY-11108	HY-11108-20101118		FC(C(NC1=CC=C(OC(C)(C)C(N2)=O)C2=N1)=N3)=CN=C3NC4=CC(OC)=C(OC)C(OC)=C4			470.17				
GDC-0941	LSM-1047		17755052	InChI=1S/C23H27N7O3S2/c1-35(31,32)30-7-5-28(6-8-30)15-16-13-20-21(34-16)23(29-9-11-33-12-10-29)26-22(25-20)17-3-2-4-19-18(17)14-24-27-19/h2-4,13-14H,5-12,15H2,1H3,(H,24,27)		CS(=O)(=O)N1CCN(Cc2cc3nc(nc(N4CCOCC4)c3s2)c5cccc6[nH]ncc56)CC1		10047	10047-101-1	Nathanael Gray (DFCI)	KIN001-153	GDC-0941-1		O=S(N1CCN(CC2=CC3=NC(C4=CC=CC5=C4C=NN5)=NC(N6CCOCC6)=C3S2)CC1)(C)=O			513.16				
Gefitinib	LSM-1098	ZD1839; Iressa	123631	InChI=1S/C22H24ClFN4O3/c1-29-20-13-19-16(12-21(20)31-8-2-5-28-6-9-30-10-7-28)22(26-14-25-19)27-15-3-4-18(24)17(23)11-15/h3-4,11-14H,2,5-10H2,1H3,(H,25,26,27)		COc1cc2ncnc(Nc3ccc(F)c(Cl)c3)c2cc1OCCCN4CCOCC4		10098	10098-101-1	Haoyuan chemexpress	HY-50895	HY-50895-20110114		FC(C=C1)=C(Cl)C=C1NC2=NC=NC3=CC(OC)=C(OCCCN4CCOCC4)C=C32			446.15				
geldanamycin	LSM-42789		5288382	InChI=1S/C29H40N2O9/c1-15-11-19-25(34)20(14-21(32)27(19)39-7)31-28(35)16(2)9-8-10-22(37-5)26(40-29(30)36)18(4)13-17(3)24(33)23(12-15)38-6/h8-10,13-15,17,22-24,26,33H,11-12H2,1-7H3,(H2,30,36)(H,31,35)/b10-8-,16-9+,18-13+/t15-,17+,22+,23+,24-,26+/m1/s1		CO[C@H]1C[C@H](C)CC2=C(OC)C(=O)C=C(NC(=O)\C(=C\C=C/[C@H](OC)[C@@H](OC(=O)N)\C(=C\[C@H](C)[C@H]1O)\C)\C)C2=O		10108	10108-101-1	Commercial	n/a-8			NC(=O)O[C@H]1C(/C)=C/[C@H](C)[C@@H](O)[C@@H](OC)C[C@H](C)C\C2=C(/OC)C(=O)\C=C(\NC(=O)C(\C)=C\C=C/[C@@H]1OC)C2=O			560.27				
GSK1059615	LSM-1173		71317162	InChI=1S/C18H11N3O2S/c22-17-16(24-18(23)21-17)10-11-1-2-15-14(9-11)13(5-8-20-15)12-3-6-19-7-4-12/h1-10H,(H,21,22,23)		O=C1NC(=O)C(=Cc2ccc3nccc(c4ccncc4)c3c2)S1		10172	10172-101-1	Haoyuan chemexpress	HY-12036	n/a		C1=CC2=NC=CC(=C2C=C1C=C3C(=O)NC(=O)S3)C4=CC=NC=C4			333.06				
GSK1904529A	LSM-1134		25124816	InChI=1S/C44H47F2N9O5S/c1-5-28-26-35(38(60-3)27-36(28)53-19-15-30(16-20-53)52-21-23-54(24-22-52)61(4,57)58)49-44-47-17-14-34(48-44)42-40(50-39-11-6-7-18-55(39)42)29-12-13-37(59-2)31(25-29)43(56)51-41-32(45)9-8-10-33(41)46/h6-14,17-18,25-27,30H,5,15-16,19-24H2,1-4H3,(H,51,56)(H,47,48,49)		CCc1cc(Nc2nccc(n2)c3c(nc4ccccn34)c5ccc(OC)c(c5)C(=O)Nc6c(F)cccc6F)c(OC)cc1N7CCC(CC7)N8CCN(CC8)S(=O)(=O)C		10134	10134-101-1	Haoyuan chemexpress	HY-10524	n/a		CCC1=CC(=C(C=C1N2CCC(CC2)N3CCN(CC3)S(=O)(=O)C)OC)NC4=NC=CC(=N4)C5=C(N=C6N5C=CC=C6)C7=CC(=C(C=C7)OC)C(=O)NC8=C(C=CC=C8F)F			851.34				
GSK2126458A	LSM-1147		52914946	InChI=1S/C25H17F2N5O3S/c1-35-25-24(32-36(33,34)23-5-3-17(26)13-21(23)27)19(8-10-29-25)15-2-4-22-20(12-15)18(7-9-28-22)16-6-11-30-31-14-16/h2-14,32H,1H3		COc1nccc(c1NS(=O)(=O)c2ccc(F)cc2F)c3ccc4nccc(c5ccnnc5)c4c3		10146	10146-101-1	Haoyuan chemexpress	HY-10297	n/a		COC1=NC=CC(=C1NS(=O)(=O)C2=C(C=C(C=C2)F)F)C3=CC4=C(C=CN=C4C=C3)C5=CN=NC=C5			505.10				
BMS-345541	LSM-1128		16048642	InChI=1S/C21H27N7O3/c1-4-28-18-15(30-12-13-6-5-9-23-10-13)11-24-14(7-8-21(2,3)29)16(18)25-20(28)17-19(22)27-31-26-17/h11,13,23,29H,4-6,9-10,12H2,1-3H3,(H2,22,27)		CCn1c(nc2c(ncc(OCC3CCCNC3)c12)C#CC(C)(C)O)c4nonc4N		10128	10128-101-1	Haoyuan chemexpress	HY-10249	n/a		CCN1C2=C(C(=NC=C2OCC3CCCNC3)C#CC(C)(C)O)N=C1C4=NON=C4N			425.22				
GW843682	LSM-1014	GW843682X	9826308	InChI=1S/C22H18F3N3O4S/c1-30-16-7-14-15(8-17(16)31-2)28(11-27-14)19-9-18(20(33-19)21(26)29)32-10-12-5-3-4-6-13(12)22(23,24)25/h3-9,11H,10H2,1-2H3,(H2,26,29)		COc1cc2ncn(c3cc(OCc4ccccc4C(F)(F)F)c(s3)C(=O)N)c2cc1OC		10014	10014-101-1	Haoyuan chemexpress	HY-11003	HY-999-20101020		O=C(C1=C(OCC2=CC=CC=C2C(F)(F)F)C=C(N3C4=CC(OC)=C(OC)C=C4N=C3)S1)N			477.10				
HG-5-113-01	LSM-5982		25226483	InChI=1S/C23H24N6O3S/c1-14(2)33(31,32)19-7-5-4-6-17(19)27-18-12-21(29-22-16(18)10-11-25-22)28-20-9-8-15(13-26-20)23(30)24-3/h4-14H,1-3H3,(H,24,30)(H3,25,26,27,28,29)		CNC(=O)c1ccc(Nc2cc(Nc3ccccc3S(=O)(=O)C(C)C)c4cc[nH]c4n2)nc1		10015	10015-101-1	Nathanael Gray (DFCI)	HG-5-113-01	HG-5-113-01-1		CC(C)S(C(C=CC=C1)=C1NC2=C(C=CN3)C3=NC(NC4=CC=C(C(NC)=O)C=N4)=C2)(=O)=O			464.16				
HG-5-88-01	LSM-5245		25226117	InChI=1S/C26H32ClN7O4S/c1-15(2)39(36,37)21-7-5-4-6-19(21)30-25-22(27)23(28)32-26(33-25)31-18-9-8-17(14-20(18)38-3)34-12-10-16(11-13-34)24(29)35/h4-9,14-16H,10-13H2,1-3H3,(H2,29,35)(H4,28,30,31,32,33)		COc1cc(ccc1Nc2nc(N)c(Cl)c(Nc3ccccc3S(=O)(=O)C(C)C)n2)N4CCC(CC4)C(=O)N		10016	10016-101-1	Nathanael Gray (DFCI)	HG-5-88-01	HG-5-88-01-1		CC(C)S(C(C=CC=C1)=C1NC2=C(Cl)C(N)=NC(NC3=C(OC)C=C(N4CCC(C(N)=O)CC4)C=C3)=N2)(=O)=O			573.19				
Imatinib	LSM-1023	Gleevec; Glivec; CGP-57148B; STI-571	5291	InChI=1S/C29H31N7O/c1-21-5-10-25(18-27(21)34-29-31-13-11-26(33-29)24-4-3-12-30-19-24)32-28(37)23-8-6-22(7-9-23)20-36-16-14-35(2)15-17-36/h3-13,18-19H,14-17,20H2,1-2H3,(H,32,37)(H,31,33,34)		CN1CCN(Cc2ccc(cc2)C(=O)Nc3ccc(C)c(Nc4nccc(n4)c5cccnc5)c3)CC1		10023	10023-103-1	Haoyuan chemexpress	HY-50946	HY-999_20101220		CC1=C(NC2=NC=CC(C3=CC=CN=C3)=N2)C=C(NC(C4=CC=C(C=C4)CN5CCN(CC5)C)=O)C=C1.CS(=O)(O)=O			493.26				
JNK-9L	LSM-36386	KIN001-204	25222038	InChI=1S/C26H27FN8O2/c27-20-15-19(16-23(17-20)33-7-11-36-12-8-33)24-5-6-28-25(31-24)30-21-1-3-22(4-2-21)35-18-29-26(32-35)34-9-13-37-14-10-34/h1-6,15-18H,7-14H2,(H,28,30,31)		Fc1cc(cc(c1)c2ccnc(Nc3ccc(cc3)n4cnc(n4)N5CCOCC5)n2)N6CCOCC6		10100	10100-101-1	Nathanael Gray (DFCI)	JNK-9L	JNK-9L-1		FC1=CC(N2CCOCC2)=CC(C3=NC(NC4=CC=C(C=C4)N5N=C(N=C5)N6CCOCC6)=NC=C3)=C1			502.22				
JW-7-24-1	LSM-5674		69923936	InChI=1S/C31H27F3N4O3/c1-40-23-13-21(14-24(17-23)41-2)19-3-6-27-25(15-19)30-20(18-36-27)4-8-29(39)38(30)22-5-7-28(26(16-22)31(32,33)34)37-11-9-35-10-12-37/h3-8,13-18,35H,9-12H2,1-2H3		COc1cc(OC)cc(c1)c2ccc3ncc4C=CC(=O)N(c5ccc(N6CCNCC6)c(c5)C(F)(F)F)c4c3c2		10019	10019-101-1	Nathanael Gray (DFCI)	JW-7-24-1	JW-7-24-1-1		O=C(N3C4=CC(C(F)(F)F)=C(N6CCNCC6)C=C4)C=CC2=C3C1=CC(C5=CC(OC)=CC(OC)=C5)=CC=C1N=C2			560.20				
Lapatinib	LSM-1051	GW-572016; Tykerb	208908	InChI=1S/C29H26ClFN4O4S/c1-40(36,37)12-11-32-16-23-7-10-27(39-23)20-5-8-26-24(14-20)29(34-18-33-26)35-22-6-9-28(25(30)15-22)38-17-19-3-2-4-21(31)13-19/h2-10,13-15,18,32H,11-12,16-17H2,1H3,(H,33,34,35)		CS(=O)(=O)CCNCc1oc(cc1)c2ccc3ncnc(Nc4ccc(OCc5cccc(F)c5)c(Cl)c4)c3c2		10051	10051-104-1	Haoyuan chemexpress	HY-50898	HY-999-20101220		CS(=O)(CCNCC1=CC=C(O1)C2=CC3=C(C=C2)N=CN=C3NC4=CC(Cl)=C(C=C4)OCC5=CC(F)=CC=C5)=O.CC6=CC=C(S(=O)(O)=O)C=C6.CC7=CC=C(S(=O)(O)=O)C=C7			580.13				
LDN-193189	LSM-1115	DM 3189	25195294	InChI=1S/C25H22N6/c1-2-4-24-22(3-1)21(9-10-27-24)23-16-29-31-17-19(15-28-25(23)31)18-5-7-20(8-6-18)30-13-11-26-12-14-30/h1-10,15-17,26H,11-14H2		C1CN(CCN1)c2ccc(cc2)c3cnc4c(cnn4c3)c5ccnc6ccccc56		10115	10115-102-1	Axon	1509	n/a		N1(C2=CC=C(C3=CN4C(N=C3)=C(C5=CC=NC6=CC=CC=C56)C=N4)C=C2)CCNCC1.Cl			406.19				
Linifanib	LSM-1183	ABT-869; AL-39324	11485656	InChI=1S/C21H18FN5O/c1-12-5-10-16(22)18(11-12)25-21(28)24-14-8-6-13(7-9-14)15-3-2-4-17-19(15)20(23)27-26-17/h2-11H,1H3,(H3,23,26,27)(H2,24,25,28)		Cc1ccc(F)c(NC(=O)Nc2ccc(cc2)c3cccc4[nH]nc(N)c34)c1		10182	10182-101-1	Haoyuan chemexpress	HY-50751	n/a		CC1=CC(=C(C=C1)F)NC(=O)NC2=CC=C(C=C2)C3=C4C(=CC=C3)NN=C4N			375.15				
Linsitinib	LSM-1135	OSI 906	11640390	InChI=1S/C26H23N5O/c1-26(32)14-19(15-26)25-30-22(23-24(27)28-11-12-31(23)25)18-8-7-17-9-10-20(29-21(17)13-18)16-5-3-2-4-6-16/h2-13,19,32H,14-15H2,1H3,(H2,27,28)		CC1(O)CC(C1)c2nc(c3ccc4ccc(nc4c3)c5ccccc5)c6c(N)nccn26		10135	10135-101-1	Haoyuan chemexpress	HY-10191	n/a		CC1(CC(C1)C2=NC(=C3N2C=CN=C3N)C4=CC5=C(C=C4)C=CC(=N5)C6=CC=CC=C6)O			421.19				
Mitoxantrone	LSM-2481	CL 232325; CL-232325; DHAQ; Novantron; Novantrone	4212	InChI=1S/C22H28N4O6/c27-11-9-23-5-7-25-13-1-2-14(26-8-6-24-10-12-28)18-17(13)21(31)19-15(29)3-4-16(30)20(19)22(18)32/h1-4,23-30H,5-12H2		OCCNCCNc1ccc(NCCNCCO)c2C(=O)c3c(O)ccc(O)c3C(=O)c12		10479	10479-102-1	Sigma	M6545	050M1241		C1=CC(=C2C(=C1NCCNCCO)C(=O)C3=C(C=CC(=C3C2=O)O)O)NCCNCCO.Cl.Cl			444.20				
MK2206	LSM-1057		24964624	InChI=1S/C25H21N5O/c26-25(12-4-13-25)18-9-7-17(8-10-18)22-19(16-5-2-1-3-6-16)15-20-21(27-22)11-14-30-23(20)28-29-24(30)31/h1-3,5-11,14-15H,4,12-13,26H2,(H,29,31)		NC1(CCC1)c2ccc(cc2)c3nc4C=CN5C(=O)NN=C5c4cc3c6ccccc6		10057	10057-102-1	Haoyuan chemexpress	HY-10358	HY-999-20100504		O=C1N(C=CC2=C3C=C(C(C4=CC=C(C=C4)C5(CCC5)N)=N2)C6=CC=CC=C6)C3=NN1.Cl.Cl			407.17				
Neratinib	LSM-42778	HKI-272	9915743	InChI=1S/C30H29ClN6O3/c1-4-39-28-16-25-23(15-26(28)36-29(38)9-7-13-37(2)3)30(20(17-32)18-34-25)35-21-10-11-27(24(31)14-21)40-19-22-8-5-6-12-33-22/h5-12,14-16,18H,4,13,19H2,1-3H3,(H,34,35)(H,36,38)/b9-7+		CCOc1cc2ncc(C#N)c(Nc3ccc(OCc4ccccn4)c(Cl)c3)c2cc1NC(=O)\C=C\CN(C)C		10018	10018-101-1	Haoyuan chemexpress	HY-32721	HM-016_11-20100622		ClC1=C(OCC4=NC=CC=C4)C=CC(NC3=C(C#N)C=NC2=CC(OCC)=C(NC(/C=C/CN(C)C)=O)C=C23)=C1			556.20				
Nilotinib	LSM-1099	AMN-107	644241	InChI=1S/C28H22F3N7O/c1-17-5-6-19(10-25(17)37-27-33-9-7-24(36-27)20-4-3-8-32-14-20)26(39)35-22-11-21(28(29,30)31)12-23(13-22)38-15-18(2)34-16-38/h3-16H,1-2H3,(H,35,39)(H,33,36,37)		Cc1cn(cn1)c2cc(NC(=O)c3ccc(C)c(Nc4nccc(n4)c5cccnc5)c3)cc(c2)C(F)(F)F		10099	10099-101-1	Haoyuan chemexpress	HY-10159	HY-10159-20110128		CC1=C(NC2=NC(C3=CC=CN=C3)=CC=N2)C=C(C(NC4=CC(N5C=C(C)N=C5)=CC(C(F)(F)F)=C4)=O)C=C1			529.18				
Nintedanib	LSM-1152	BIBF-1120; Vargatef	56965894	InChI=1S/C31H33N5O4/c1-34-15-17-36(18-16-34)20-27(37)35(2)24-12-10-23(11-13-24)32-29(21-7-5-4-6-8-21)28-25-14-9-22(31(39)40-3)19-26(25)33-30(28)38/h4-14,19,32H,15-18,20H2,1-3H3,(H,33,38)		COC(=O)c1ccc2C(=C(Nc3ccc(cc3)N(C)C(=O)CN4CCN(C)CC4)c5ccccc5)C(=O)Nc2c1		10151	10151-101-1	Haoyuan chemexpress	HY-50904	n/a		CN1CCN(CC1)CC(=O)N(C)C2=CC=C(C=C2)NC(=C3C4=C(C=C(C=C4)C(=O)OC)NC3=O)C5=CC=CC=C5			539.25				
NU7441	LSM-1061	KU 57788	11327430	InChI=1S/C25H19NO3S/c27-21-15-23(26-11-13-28-14-12-26)29-24-17(6-3-9-20(21)24)19-8-4-7-18-16-5-1-2-10-22(16)30-25(18)19/h1-10,15H,11-14H2		O=C1C=C(Oc2c1cccc2c3cccc4c5ccccc5sc34)N6CCOCC6		10061	10061-101-1	Haoyuan chemexpress	HY-11006	HY-999-20100311		O=C1C=C(N2CCOCC2)OC3=C1C=CC=C3C4=C5C(C6=CC=CC=C6S5)=CC=C4			413.11				
dactolisib	LSM-4255	NVP-BEZ235	11977753	InChI=1S/C30H23N5O/c1-30(2,18-31)22-9-11-23(12-10-22)35-28-24-15-19(21-14-20-6-4-5-7-25(20)32-16-21)8-13-26(24)33-17-27(28)34(3)29(35)36/h4-17H,1-3H3		CN1C(=O)N(c2ccc(cc2)C(C)(C)C#N)c3c1cnc4ccc(cc34)c5cnc6ccccc6c5		10232	10232-101-1	Haoyuan chemexpress	HY-50673	HY-158_TM-20110106		CC(C)(C#N)C1=CC=C(C=C1)N2C3=C4C=C(C=CC4=NC=C3N(C2=O)C)C5=CC6=CC=CC=C6N=C5			469.19				
NVP-TAE684	LSM-1024		16038120	InChI=1S/C30H40ClN7O3S/c1-21(2)42(39,40)28-8-6-5-7-26(28)33-29-24(31)20-32-30(35-29)34-25-10-9-23(19-27(25)41-4)37-13-11-22(12-14-37)38-17-15-36(3)16-18-38/h5-10,19-22H,11-18H2,1-4H3,(H2,32,33,34,35)		COc1cc(ccc1Nc2ncc(Cl)c(Nc3ccccc3S(=O)(=O)C(C)C)n2)N4CCC(CC4)N5CCN(C)CC5		10024	10024-101-1	Haoyuan chemexpress	HY-10192	HM-035_TM-20100518		COC1=C(NC2=NC(NC3=C(S(=O)(C(C)C)=O)C=CC=C3)=C(Cl)C=N2)C=CC(N4CCC(N5CCN(CC5)C)CC4)=C1			613.26				
PD-0332991	LSM-1071	PD0332991	5330286	InChI=1S/C24H29N7O2/c1-15-19-14-27-24(28-20-8-7-18(13-26-20)30-11-9-25-10-12-30)29-22(19)31(17-5-3-4-6-17)23(33)21(15)16(2)32/h7-8,13-14,17,25H,3-6,9-12H2,1-2H3,(H,26,27,28,29)		CC(=O)C1=C(C)c2cnc(Nc3ccc(cn3)N4CCNCC4)nc2N(C5CCCC5)C1=O		10071	10071-101-1	Haoyuan chemexpress	HY-50767	HM-003_TM20110113		O=C1C(C(C)=O)=C(C)C2=CN=C(NC3=NC=C(N4CCNCC4)C=C3)N=C2N1C5CCCC5			447.24				
PD0325901	LSM-1101	PD-325901	9826528	InChI=1S/C16H14F3IN2O4/c17-11-3-2-10(16(25)22-26-7-9(24)6-23)15(14(11)19)21-13-4-1-8(20)5-12(13)18/h1-5,9,21,23-24H,6-7H2,(H,22,25)/t9-/m1/s1		OC[C@@H](O)CONC(=O)c1ccc(F)c(F)c1Nc2ccc(I)cc2F		10101	10101-101-1	Haoyuan chemexpress	HY-10254	HY-10254-20110114		FC1=C(F)C=CC(C(NOC[C@H](O)CO)=O)=C1NC2=CC=C(I)C=C2F			482.00				
PD173074	LSM-1026		1401	InChI=1S/C28H41N7O3/c1-8-35(9-2)13-11-10-12-29-26-30-18-20-16-23(19-14-21(37-6)17-22(15-19)38-7)25(31-24(20)32-26)33-27(36)34-28(3,4)5/h14-18H,8-13H2,1-7H3,(H3,29,30,31,32,33,34,36)		CCN(CC)CCCCNc1ncc2cc(c(NC(=O)NC(C)(C)C)nc2n1)c3cc(OC)cc(OC)c3		10026	10026-101-1	Tocris	3044	3044-1		CCN(CC)CCCCNC2=NC1=C(C=N2)C=C(C3=CC(OC)=CC(OC)=C3)C(NC(NC(C)(C)C)=O)=N1			523.33				
PD184352	LSM-1048	CI-1040	6918454	InChI=1S/C17H14ClF2IN2O2/c18-12-7-10(21)3-6-14(12)22-16-11(4-5-13(19)15(16)20)17(24)23-25-8-9-1-2-9/h3-7,9,22H,1-2,8H2,(H,23,24)		Fc1ccc(C(=O)NOCC2CC2)c(Nc3ccc(I)cc3Cl)c1F		10048	10048-101-1	Haoyuan chemexpress	HY-50295	HY-999_20100702		O=C(NOCC1CC1)C2=CC=C(F)C(F)=C2NC3=CC=C(I)C=C3Cl			477.98				
Pelitinib	LSM-1160	EKB-569	216467	InChI=1S/C24H23ClFN5O2/c1-4-33-22-12-20-17(11-21(22)30-23(32)6-5-9-31(2)3)24(15(13-27)14-28-20)29-16-7-8-19(26)18(25)10-16/h5-8,10-12,14H,4,9H2,1-3H3,(H,28,29)(H,30,32)		CCOc1cc2ncc(C#N)c(Nc3ccc(F)c(Cl)c3)c2cc1NC(=O)C=CCN(C)C		10159	10159-101-1	Haoyuan chemexpress	HY-32718	n/a		CCOC1=C(C=C2C(=C1)N=CC(=C2NC3=CC(=C(C=C3)F)Cl)C#N)NC(=O)C=CCN(C)C			467.15				
PF431396	LSM-1116		11598628	InChI=1S/C22H21F3N6O3S/c1-31(35(2,33)34)18-6-4-3-5-13(18)11-26-20-16(22(23,24)25)12-27-21(30-20)28-15-7-8-17-14(9-15)10-19(32)29-17/h3-9,12H,10-11H2,1-2H3,(H,29,32)(H2,26,27,28,30)		CN(c1ccccc1CNc2nc(Nc3ccc4NC(=O)Cc4c3)ncc2C(F)(F)F)S(=O)(=O)C		10116	10116-101-1	Haoyuan chemexpress	HY-10460	n/a		CN(C1=CC=CC=C1CNC2=NC(=NC=C2C(F)(F)F)NC3=CC4=C(C=C3)NC(=O)C4)S(=O)(=O)C			506.13				
PF477736	LSM-1112		16750408	InChI=1S/C22H25N7O2/c1-29-11-13(9-25-29)20-16-10-24-28-21(30)15-7-14(8-17(27-20)18(15)16)26-22(31)19(23)12-5-3-2-4-6-12/h7-12,19,24H,2-6,23H2,1H3,(H,26,31)(H,28,30)/t19-/m1/s1		Cn1cc(cn1)c2[nH]c3cc(NC(=O)[C@H](N)C4CCCCC4)cc5C(=O)NN=Cc2c35		10112	10112-101-1	Tocris	4277	n/a		O=C(NC1=CC2=C(C3=C1)C(C=NNC3=O)=C(C4=CN(C)N=C4)N2)[C@H](N)C5CCCCC5			419.21				
PF562271	LSM-1072	KIN001-205	11713159	InChI=1S/C21H20F3N7O3S/c1-31(35(2,33)34)19-12(4-3-7-25-19)10-26-18-15(21(22,23)24)11-27-20(30-18)28-14-5-6-16-13(8-14)9-17(32)29-16/h3-8,11H,9-10H2,1-2H3,(H,29,32)(H2,26,27,28,30)		CN(c1ncccc1CNc2nc(Nc3ccc4NC(=O)Cc4c3)ncc2C(F)(F)F)S(=O)(=O)C		10072	10072-101-1	Haoyuan chemexpress	HY-10459	HY-999-20110107		O=C(N1)CC2=C1C=CC(NC3=NC=C(C(F)(F)F)C(NCC4=CC=CN=C4N(S(=O)(C)=O)C)=N3)=C2			507.13				
PHA-665752	LSM-42793		10461815	InChI=1S/C32H34Cl2N4O4S/c1-19-29(35-20(2)30(19)32(40)38-14-6-7-21(38)17-37-12-3-4-13-37)16-24-23-15-22(10-11-28(23)36-31(24)39)43(41,42)18-25-26(33)8-5-9-27(25)34/h5,8-11,15-16,21,35H,3-4,6-7,12-14,17-18H2,1-2H3,(H,36,39)/b24-16-/t21-/m1/s1		Cc1[nH]c(\C=C\2/C(=O)Nc3ccc(cc23)S(=O)(=O)Cc4c(Cl)cccc4Cl)c(C)c1C(=O)N5CCC[C@@H]5CN6CCCC6		10125	10125-101-1	Haoyuan chemexpress	HY-11107	n/a		O=C1NC2=C(C=C(S(=O)(CC3=C(Cl)C=CC=C3Cl)=O)C=C2)/C1=C/C4=C(C)C(C(N5[C@@H](CN6CCCC6)CCC5)=O)=C(C)N4			640.17				
PHA-793887	LSM-1073		46191454	InChI=1S/C19H31N5O2/c1-12(2)10-15(25)20-17-14-11-24(19(3,4)16(14)21-22-17)18(26)13-6-8-23(5)9-7-13/h12-13H,6-11H2,1-5H3,(H2,20,21,22,25)		CC(C)CC(=O)Nc1n[nH]c2c1CN(C(=O)C3CCN(C)CC3)C2(C)C		10073	10073-101-1	Haoyuan chemexpress	HY-11001	HY-999-20110110		CC(C)CC(NC1=NNC2=C1CN(C(C3CCN(C)CC3)=O)C2(C)C)=O			361.25				
PI103	LSM-1126		9884685	InChI=1S/C19H16N4O3/c24-13-4-1-3-12(11-13)17-21-15-14-5-2-6-20-19(14)26-16(15)18(22-17)23-7-9-25-10-8-23/h1-6,11,24H,7-10H2		Oc1cccc(c1)c2nc(N3CCOCC3)c4oc5ncccc5c4n2		10126	10126-101-1	Haoyuan chemexpress	HY-10115	n/a		OC1=CC=CC(C2=NC(N3CCOCC3)=C(OC4=NC=CC=C45)C5=N2)=C1			348.12				
PLX-4720	LSM-1049		24180719	InChI=1S/C17H14ClF2N3O3S/c1-2-5-27(25,26)23-13-4-3-12(19)14(15(13)20)16(24)11-8-22-17-10(11)6-9(18)7-21-17/h3-4,6-8,23H,2,5H2,1H3,(H,21,22)		CCCS(=O)(=O)Nc1ccc(F)c(C(=O)c2c[nH]c3ncc(Cl)cc23)c1F		10049	10049-101-1	Nathanael Gray (DFCI)	KIN001-159	PLX-4720-1		ClC1=CN=C(NC=C2C(C3=C(F)C(NS(CCC)(=O)=O)=CC=C3F)=O)C2=C1			413.04				
QL-X-138	LSM-5803		73707530	InChI=1S/C25H19N5O2/c1-3-23(31)29-22-11-19(7-4-15(22)2)30-24(32)9-6-17-12-26-21-8-5-16(10-20(21)25(17)30)18-13-27-28-14-18/h3-14H,1H2,2H3,(H,27,28)(H,29,31)		Cc1ccc(cc1NC(=O)C=C)N2C(=O)C=Cc3cnc4ccc(cc4c23)c5cn[nH]c5		10075	10075-101-1	Nathanael Gray (DFCI)	QL-X-138	QL-X-138-1		O=C(N1C2=CC(NC(C=C)=O)=C(C)C=C2)C=CC3=C1C4=CC(C5=CNN=C5)=CC=C4N=C3			421.15				
